batch_number,gets,puts,get_ratio,put_ratio
696,9956,0,1.0,0.0
697,9943,0,1.0,0.0
698,9938,0,1.0,0.0
699,9909,0,1.0,0.0
700,9935,0,1.0,0.0
701,9912,0,1.0,0.0
702,9927,0,1.0,0.0
703,9945,0,1.0,0.0
704,9930,0,1.0,0.0
705,9926,0,1.0,0.0
706,9917,0,1.0,0.0
707,9941,0,1.0,0.0
708,9932,0,1.0,0.0
709,9902,0,1.0,0.0
710,9924,0,1.0,0.0
711,9925,0,1.0,0.0
712,9914,0,1.0,0.0
713,9951,0,1.0,0.0
714,9931,0,1.0,0.0
715,9954,0,1.0,0.0
716,9910,0,1.0,0.0
717,9941,0,1.0,0.0
718,9939,0,1.0,0.0
719,9942,0,1.0,0.0
720,9918,0,1.0,0.0
721,9940,0,1.0,0.0
722,9930,0,1.0,0.0
723,9927,0,1.0,0.0
724,9938,0,1.0,0.0
725,9961,0,1.0,0.0
726,9950,0,1.0,0.0
727,9944,0,1.0,0.0
728,9912,0,1.0,0.0
729,9933,0,1.0,0.0
730,9924,0,1.0,0.0
731,9923,0,1.0,0.0
732,9911,0,1.0,0.0
733,9922,0,1.0,0.0
734,9932,0,1.0,0.0
735,9928,0,1.0,0.0
736,9936,0,1.0,0.0
737,9955,0,1.0,0.0
738,9953,0,1.0,0.0
739,9943,0,1.0,0.0
740,9884,0,1.0,0.0
741,9942,0,1.0,0.0
742,9920,0,1.0,0.0
743,9934,0,1.0,0.0
744,9962,0,1.0,0.0
745,9945,0,1.0,0.0
746,9924,0,1.0,0.0
747,9905,0,1.0,0.0
748,9938,0,1.0,0.0
749,9939,0,1.0,0.0
750,9944,0,1.0,0.0
751,9930,0,1.0,0.0
752,9966,0,1.0,0.0
753,9931,0,1.0,0.0
754,9934,0,1.0,0.0
755,9922,0,1.0,0.0
756,9948,0,1.0,0.0
757,9944,0,1.0,0.0
758,9887,0,1.0,0.0
759,9914,0,1.0,0.0
760,9944,0,1.0,0.0
761,9957,0,1.0,0.0
762,9931,0,1.0,0.0
763,9948,0,1.0,0.0
764,9946,0,1.0,0.0
765,9972,0,1.0,0.0
766,9934,0,1.0,0.0
767,9921,0,1.0,0.0
768,9930,0,1.0,0.0
769,9960,0,1.0,0.0
770,9897,0,1.0,0.0
771,9942,0,1.0,0.0
772,9941,0,1.0,0.0
773,9930,0,1.0,0.0
774,9951,0,1.0,0.0
775,9924,0,1.0,0.0
776,9945,0,1.0,0.0
777,9931,0,1.0,0.0
778,9953,0,1.0,0.0
779,9938,0,1.0,0.0
780,9944,0,1.0,0.0
781,9931,0,1.0,0.0
782,9929,0,1.0,0.0
783,9910,0,1.0,0.0
784,9915,0,1.0,0.0
785,9949,0,1.0,0.0
786,9926,0,1.0,0.0
787,9909,0,1.0,0.0
788,9936,0,1.0,0.0
789,9913,0,1.0,0.0
790,9853,0,1.0,0.0
791,9861,0,1.0,0.0
792,9927,0,1.0,0.0
793,9926,0,1.0,0.0
794,9950,0,1.0,0.0
795,9941,0,1.0,0.0
796,9916,0,1.0,0.0
797,9923,0,1.0,0.0
798,9941,0,1.0,0.0
799,9910,0,1.0,0.0
800,9923,0,1.0,0.0
801,9935,0,1.0,0.0
802,9936,0,1.0,0.0
803,9940,0,1.0,0.0
804,9894,0,1.0,0.0
805,9947,0,1.0,0.0
806,9943,0,1.0,0.0
807,9952,0,1.0,0.0
808,9926,0,1.0,0.0
809,9946,0,1.0,0.0
810,9931,0,1.0,0.0
811,9914,0,1.0,0.0
812,9929,0,1.0,0.0
813,9911,0,1.0,0.0
814,9948,0,1.0,0.0
815,9935,0,1.0,0.0
816,9950,0,1.0,0.0
817,9940,0,1.0,0.0
818,9933,0,1.0,0.0
819,9949,0,1.0,0.0
820,9920,0,1.0,0.0
821,9930,0,1.0,0.0
822,9964,0,1.0,0.0
823,9937,0,1.0,0.0
824,9918,0,1.0,0.0
825,9924,0,1.0,0.0
826,9939,0,1.0,0.0
827,9942,0,1.0,0.0
828,9918,0,1.0,0.0
829,9949,0,1.0,0.0
830,9935,0,1.0,0.0
831,9940,0,1.0,0.0
832,9934,0,1.0,0.0
833,9914,0,1.0,0.0
834,9935,0,1.0,0.0
835,9937,0,1.0,0.0
836,9900,0,1.0,0.0
837,9939,0,1.0,0.0
838,9935,0,1.0,0.0
839,9930,0,1.0,0.0
840,9930,0,1.0,0.0
841,9912,0,1.0,0.0
842,9913,0,1.0,0.0
843,9893,0,1.0,0.0
844,9928,0,1.0,0.0
845,9938,0,1.0,0.0
846,9891,0,1.0,0.0
847,9939,0,1.0,0.0
848,9937,0,1.0,0.0
849,9931,0,1.0,0.0
850,9943,0,1.0,0.0
851,9885,0,1.0,0.0
852,9915,0,1.0,0.0
853,9933,0,1.0,0.0
854,9967,0,1.0,0.0
855,9943,0,1.0,0.0
856,9932,0,1.0,0.0
857,9890,0,1.0,0.0
858,9961,0,1.0,0.0
859,9952,0,1.0,0.0
860,9941,0,1.0,0.0
861,9938,0,1.0,0.0
862,9935,0,1.0,0.0
863,9954,0,1.0,0.0
864,9918,0,1.0,0.0
865,9919,0,1.0,0.0
866,9949,0,1.0,0.0
867,9925,0,1.0,0.0
868,9942,0,1.0,0.0
869,9939,0,1.0,0.0
870,9898,0,1.0,0.0
871,9928,0,1.0,0.0
872,9928,0,1.0,0.0
873,9914,0,1.0,0.0
874,9951,0,1.0,0.0
875,9943,0,1.0,0.0
876,9912,0,1.0,0.0
877,9937,0,1.0,0.0
878,9916,0,1.0,0.0
